date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-08-23,53404,568,20413979,35940.1038732394,1.30848012,461704955.3004109382673859454,352855918.49571496,4659548.9667424,0.00058725296886675,0.1337845556069546287365477878,0.0001,0.0227814183494253,2.35782067,537.14499076192254960951,7100,127.869638336721,1617480.7028091963,7100,1617480.7028091963,27.50125721,46.417650264899706,0.05493581723483427,227.814183494253,,8.687660655309703,2026673.44156848,4015,145939,73693.84700983,16788503.58509481938503950699,2.23470221755672,509.0968610454806980938215302,0.01085969,2.47399141035070436157,326130.20692801,74297086.80411637113061972653,0.08239112790487496,0.05974637447789762,0.07654941331386043
2017-08-24,53185,578,18401576,31836.6366782007,1.30191153,461666336.6041224131427838954,354606535.9735376,4840749.02899295,0.000528110803108808,0.1198737236871497051443405103,0.0001,0.0226985933598582,2.24235847,508.98383077563792768954,7225,129.658637132655,1639973.37024975495,7225,1639973.37024975495,40.23184883,46.2732927237456,0.05247239159979157,226.985933598582,,21.432544300005546,2033898.44156848,4246,155189,50554.43636298,11475145.93540111758736529436,1.18451536474583,268.8683259286971064696784131,0.01100725,2.4984909176029917195,183823.75493954,41725406.63254843637003973228,0.08231712940934008,0.055519919846834326,0.07528075299704606
2017-08-25,58395,567,19721954,34782.987654321,1.36132069,485417206.0318036594793596574,356578144.8376253,4894361.70036015,0.000558851475441662,0.1329142529943980694566680163,0.0001,0.0237834664191153,2.87864395,684.64131717414422697435,7087.5,126.749403183638,1685653.1824547968875,7087.5,1685653.1824547968875,33.80694854,48.19900447532881,0.05463530088621497,237.834664191153,,25.230403743179288,2040985.94156848,5151,157900,60371.78833455,14358504.00516706729671423615,1.43040689272888,340.2003429888837866621235986,0.01079344,2.56705417786735843632,225861.24836189,53717634.15794471376308035917,0.08235876261386248,0.05598284490216119,0.07520315671399647
2017-08-26,60240,575,33388314,58066.6330434783,1.63730232,597283792.6197740872926046496,364797499.8203287,4903320.33521136,0.000582765439820583,0.1699447639733154478677085747,0.0001,0.029161778026102,4.67727542,1363.9766756498300301284,7187.5,128.086686740308,2096002.79562608125,7187.5,2096002.79562608125,28.6947373,58.481655155506004,0.06716241586686036,291.61778026102,,56.41828050445383,2048173.44156848,8026,147182,71378.01681338,20815098.8225516398450284476,3.05873040649427,891.9801715587464108237343554,0.011007105,3.2098675271999745471,450190.05868864,131283425.6103595171381088128,0.08209201547250086,0.06620867090084805,0.07872043552458166
2017-08-27,54352,582,17559799,30171.4759450172,1.54607218,568096224.3255482321946463947,367444825.6833983,5047109.0615401,0.000403216271970398,0.1114431464494483460583424204,0.0001,0.0276385538472589,2.17938395,602.35020655926798154655,7275,129.187137283469,2010704.792388084975,7275,2010704.792388084975,52.02309495,55.2515493238329,0.06361143394459813,276.385538472589,,57.59301766255363,2055448.44156848,5405,151454,39510.30678675,10920077.41647308639554339575,6.82566650899257,1886.515513522228207270949664,0.010849625,2.998679447850663429125,1033774.49545296,285720320.5849953583240989134,0.08223515210606988,0.06592583642191834,0.0788754812400652
2017-08-28,62934,572,20956025,36636.4073426573,1.52971487,571569905.9377792940848314739,373644735.17173386,5365346.02764858,0.000599165901639344,0.1660358076197811567654881174,0.0001,0.0277111576552504,3.25287168,901.40839956779229468672,7150,126.527294281064,1981347.7723504036,7150,1981347.7723504036,24.2247667,54.66480515755835,0.06327089349347136,277.111576552504,,50.126940541137465,2062598.44156848,5429,168089,85144.20249288,23594444.18710761803300617152,1.79049042300008,496.1656239197119375953162003,0.01070592,2.96673436964498362368,300961.74471166,83399983.55904033597633099664,0.0819475701006345,0.06560676704122968,0.07860988092527793
2017-08-29,61987,572,18894634,33032.5769230769,1.48947719,559543345.1280902682168650043,375664258.27609396,4993802.78440973,0.000481209353747887,0.1300918923745982784750093644,0.0001,0.0270343648479359,2.56147739,692.47914310998596019301,7150,126.090202441331,1932957.08662741685,7150,1932957.08662741685,34.16412748,52.953918214181044,0.058764522396790426,270.343648479359,,54.66800235351117,2069748.44156848,5323,164505,60582.50552265,16378095.57701411689203198135,1.5359195888562,415.2261054223021336121191758,0.0109,2.9467457684250131,252666.45196479,68306770.47249603390130976961,0.08191209819274752,0.0647607525908817,0.07781635549449979
2017-08-30,63254,579,20748968,35835.8687392055,1.51011814,572533990.737122148512346956,379131920.2429551,5144560.65341899,0.000516194213581985,0.1422921201259176108627123576,0.0001,0.0275656170452825,2.93404791,808.78841079571494484575,7237.5,127.188511348569,1995061.5336523209375,7237.5,1995061.5336523209375,25.99320355,53.42305074690428,0.06009990035760602,275.656170452825,,59.39559421030819,2076985.94156848,5684,160057,79904.96199344,22026295.823290199939479468,1.37371978870634,378.6743362300536024387484105,0.01092447,3.01139756442677312775,219873.46822097,60609478.23397350713206074025,0.08184449593957004,0.064590071775408,0.07752566239067443
2017-08-31,60343,566,17551004,31008.8409893993,1.57172806,600379237.5248822796554384651,381986715.46005046,5334631.64974555,0.000449776711590296,0.1295723142135177733343895784,0.0001,0.0288081421013069,2.5030074,721.0699285982272037106,7075,123.910723937683,2038176.053667463175,7075,2038176.053667463175,39.30505132,55.503554582801705,0.06077210399017261,288.081421013069,,50.5157531780051,2084060.94156848,5565,153507,53022.7253672,15274862.0697686767890239368,1.20360148540171,346.735226247965240442624948,0.01075617,3.09865273825814238573,184761.25321956,53226284.37564631461308642964,0.08184357114919369,0.06278489164823002,0.07718012595786902
2017-09-01,63739,582,21889765,37611.2800687285,1.67411035,649296481.467718716296391012,387845689.4020208,5064981.82563802,0.00042937842004162,0.1333089972824258769774308655,0.0001,0.0310469718691275,2.68232699,832.78130602331441001225,7275,126.970275182499,2258667.203479025625,7275,2258667.203479025625,28.93091278,58.953410789645694,0.0631271297537177,310.469718691275,,63.86140793375644,2091335.94156848,6247,161505,72287.24366384,22443000.205280055960840996,1.34325474282939,417.0399221369616577614065722,0.01075477,3.33903041648936363175,216942.35724066,67354032.6247297963354172415,0.08187615659858409,0.06358791112429317,0.07770308379675502
